" kkkkk, essa foi boa",0
 gorda,1
 frenetico,0
 salario mínimo,1
 salvou,0
 energúmena,1
 concordo ctg,0
 acéfalo,1
 bora time,0
    se mata,1
 time dos sonhos,0
" ruim, tomara que morra",1
 vamo q vamo,0
 adotado,1
    show de bola,0
filho do matue,1
 tranquilo,0
 cearense cabeça de orelhão,1
 beleza,0
    filho da puta,1
 claro,0
 sequelado,1
 boa noite,0
 desgraçado,1
 bom dia,0
 desinstala o jogo,1
 boa tarde,0
 não sabe jogar,1
 me beija,0
 burro,1
 gato,0
 tua mãe,1
 gata,0
    horrível,1
 gatinha,0
 se mata favelado,1
 sucesso,0
 volta pra senzala macaco,1
 glhf,0
 burro,1
 meu rei,0
 idiota,1
    rainha,0
 animal,1
 vamo com calma,0
 acéfalo,1
 alegria,0
 quero que voce se foda,1
 bonecao,0
